player_id,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB,VOTE%,inducted
astacez01,5,6,28,0,0,0,260.0,107,58,25,72,37.0,6.02,1.662,0.305,7.48,3.84,1.95,0.0,0.0
astacpe01,129,124,392,31,12,0,6590.0,2292,1140,291,1664,891.0,4.67,1.449,0.26899999999999996,6.82,3.65,1.87,0.0,0.0
atchisc01,17,11,298,0,0,3,1040.0,327,140,35,253,105.0,3.63,1.246,0.252,6.57,2.73,2.41,0.0,0.0
atchlju01,0,0,15,0,0,0,31.0,12,7,4,8,8.0,6.1,1.935,0.3,6.97,6.97,1.0,0.0,0.0
atherke01,33,41,342,0,0,26,1699.0,546,251,75,349,261.0,3.99,1.425,0.252,5.55,4.15,1.34,0.0,0.0
atilalu01,6,7,16,0,0,0,257.0,96,49,11,40,39.0,5.15,1.5759999999999998,0.28600000000000003,4.2,4.1,1.03,0.0,0.0
atkinal01,51,51,106,99,3,0,2745.0,943,403,21,435,247.0,3.96,1.301,0.327,4.28,2.43,1.76,0.0,0.0
atkinbi01,11,4,98,0,0,11,442.0,129,56,17,99,80.0,3.42,1.419,0.237,6.05,4.89,1.24,0.0,0.0
atkinja01,0,1,4,0,0,0,45.0,15,6,1,2,12.0,3.6,1.8,0.259,1.2,7.2,0.17,0.0,0.0
atkinmi01,0,0,10,0,0,0,68.0,34,17,7,17,11.0,6.75,1.985,0.34,6.75,4.37,1.55,0.0,0.0
atkinto01,3,2,16,2,0,2,189.0,59,20,0,33,29.0,2.86,1.3969999999999998,0.254,4.71,4.14,1.14,0.0,0.0
augenbr01,0,2,12,0,0,0,68.0,34,21,3,12,17.0,8.34,2.25,0.374,4.76,6.75,0.71,0.0,0.0
aukerel01,130,101,333,126,14,2,5890.0,2230,964,129,594,744.0,4.42,1.515,0.281,2.72,3.41,0.8,0.0,0.0
aumonph01,1,6,46,0,0,2,131.0,53,33,5,42,40.0,6.8,2.13,0.305,8.66,8.24,1.05,0.0,0.0
austde01,0,1,15,0,0,2,51.0,18,11,1,14,11.0,5.82,1.706,0.273,7.41,5.82,1.27,0.0,0.0
austije01,2,3,38,0,0,0,196.0,69,49,13,55,45.0,6.75,1.745,0.276,7.58,6.2,1.22,0.0,0.0
austiri01,4,8,89,1,1,6,408.0,141,70,17,106,101.0,4.63,1.7790000000000001,0.273,7.01,6.68,1.05,0.0,0.0
autryal01,1,0,1,0,0,0,15.0,4,3,2,3,3.0,5.4,1.4,0.222,5.4,5.4,1.0,0.0,0.0
averyst01,96,83,297,14,6,0,4664.0,1529,723,148,980,622.0,4.19,1.3840000000000001,0.255,5.67,3.6,1.58,0.0,0.0
avilalu01,12,6,241,0,0,0,593.0,162,65,10,145,89.0,2.96,1.27,0.228,6.6,4.05,1.63,0.0,0.0
avreaja01,0,0,2,0,0,0,16.0,6,2,0,2,3.0,3.38,1.6880000000000002,0.273,3.38,5.06,0.67,0.0,0.0
